Source,Target,Weight
Elu_World,Shikinagi_2434,0.0834
Elu_World,SerAph_DazZ,0.0774
Elu_World,EliraPendora,0.0136
Elu_World,PomuRainpuff,0.0117
Elu_World,FinanaRyugu,0.0125
Elu_World,Selen_Tatsuki,0.0116
Elu_World,Rosemi_Lovelock,0.0132
Elu_World,Petra_Gurin,0.015
Elu_World,EnnaAlouette,0.0097
Elu_World,NinaKosaka,0.013
Elu_World,ReimuEndou,0.014
Elu_World,MillieParfait,0.0114
Elu_World,ike_eveland,0.0049
Elu_World,Mysta_Rias,0.004
Elu_World,Vox_Akuma,0.0047
Elu_World,luca_kaneshiro,0.0052
Elu_World,shu_yamino,0.0043
Elu_World,alban_knox,0.0063
Elu_World,Yugo_Asuma,0.0088
Elu_World,Fulgur_Ovid,0.0066
Elu_World,sonny_brisko,0.0062
Elu_World,uki_violeta,0.0057
Elu_World,KyoKanek0,0.0054
Elu_World,MariaMari0nette,0.007
Elu_World,AsterArcadia,0.0057
Elu_World,AiaAmare,0.0087
Elu_World,RenZott0,0.0049
Elu_World,ScarleYonaguni,0.0074
Elu_World,riku_tazumi,0.0787
Elu_World,VTA_ANYCOLOR,0.0896
Elu_World,Taka_Radjiman,0.1227
Elu_World,ZEA_Cornelia,0.1092
Elu_World,Hana_Macchia,0.1224
Elu_World,Rai_Galilei,0.0967
Elu_World,AmiciaMichella,0.109
Elu_World,MiyuOttavia,0.1021
Elu_World,RiksaDhirendra,0.1063
Elu_World,Azura_Cecillia,0.0869
Elu_World,Nara_Haramaung,0.1141
Elu_World,LaylaAlstro2434,0.1132
Elu_World,Etna_Crimson,0.1014
Elu_World,bobon_pranaja,0.0607
Elu_World,SiskaLeontyne,0.1043
Elu_World,NagisaArcinia,0.102
Elu_World,DeremKado,0.1099
Elu_World,RezaAvanluna,0.1173
Elu_World,HyonaElatiora,0.1085
Elu_World,Xia_Ekavira,0.1108
Elu_World,MikaMelatika,0.0161
Elu_World,Wiffy2434,0.012
Elu_World,YuyaShin2434,0.0186
Elu_World,SuhaMin2434,0.0346
Elu_World,Gaon2434,0.1291
Elu_World,KaenVtuber,0.0063
Elu_World,LOROU_vtuber,0.0066
Elu_World,HanChiho2434,0.0354
Elu_World,VtuberHakuRen,0.0117
Elu_World,NagiSo2434,0.1743
Elu_World,AraChae2434,0.0185
Elu_World,SiuLee2434,0.0217
Elu_World,BoraNun2434,0.0459
Elu_World,RayAkira2434,0.1433
